"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3";"C_1206_3216Metric";1;"1u";;;
2;"C2";"C_1206_3216Metric";1;"0.1u";;;
3;"C1";"C_1206_3216Metric";1;"4.7u";;;
4;"R1";"R_1206_3216Metric";1;"200";;;
5;"U1";"DIP-6_W7.62mm_Socket_LongPads";1;"H11L1";;;
6;"U3";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"CY7C65213A-32LTXI";;;
7;"R2";"R_1206_3216Metric";1;"280";;;
8;"P1";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Plug_USB2.0";;;
9;"J1";"MIDI_DIN5";1;"DIN-5";;;
10;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N914";;;
